,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation
57,57,"(28, 29)",0.0326786554977364,0.0652934317916828,0.0079365079365079,0.02521590332455,0.0737381126554498,0.0079365079365079,7,8,0,6,8
58,58,"(30, 31)",0.0108528585239747,0.0638055450056969,0.0079365079365079,0.0075222565784725,0.0693069306930693,0.0079365079365079,8,9,0,7,9
59,59,"(31, 26)",0.0153019106210671,0.0609579100145137,0.0079365079365079,0.0133710487344616,0.069526831287074,0.0079365079365079,63,60,0,64,64
60,60,"(36, 37)",0.0007534160118653,0.0502142074324997,0.0059523809523809,0.0006380458036736,0.0589198036006546,0.0059523809523809,8,8,0,3,8
61,61,"(37, 40)",0.0145676470872807,0.0583873957367933,0.0059523809523809,0.0074716366827729,0.0621378375046233,0.0059523809523809,57,57,0,57,57
62,62,"(40, 41)",0.0250639568327384,0.0557830658550083,0.0079365079365079,0.0134811690305722,0.0611353711790393,0.0079365079365079,8,8,0,7,8
63,63,"(42, 43)",0.0067271634741813,0.0540482573726541,0.0079365079365079,0.0031218312181117,0.0571493366594852,0.0079365079365079,8,8,1,8,8
64,64,"(43, 38)",0.0029202149160967,0.0514180779432768,0.0059523809523809,0.0049175572195253,0.0562814070351758,0.0059523809523809,55,55,0,53,55
65,65,"(38, 39)",0.0127848742766379,0.0557830658550083,0.0059523809523809,0.0070627950293198,0.0590578861026482,0.0059523809523809,8,8,0,8,8
66,66,"(41, 42)",0.0050324955967189,0.0528523489932885,0.0059523809523809,0.0022866399717112,0.0579376939878146,0.0059523809523809,6,7,0,5,7
67,67,"(42, 45)",0.0117581313219525,0.0540482573726541,0.0079365079365079,0.0062141764516369,0.05687845615619,0.0079365079365079,61,61,0,61,61
68,68,"(45, 46)",0.0040083416284238,0.0513971038139914,0.0059523809523809,0.0017150694634564,0.0539152759948652,0.0059523809523809,8,8,1,8,8
69,69,"(47, 44)",0.0101849222127552,0.0468575678690963,0.0059523809523809,0.0016363929131507,0.0525711901533326,0.0059523809523809,7,7,6,7,7
70,70,"(44, 43)",0.0047012896167965,0.0447880565182617,0.0059523809523809,0.0038524093782098,0.0552268244575936,0.0059523809523809,44,55,0,52,62
71,71,"(43, 40)",0.0085082381748811,0.0513971038139914,0.0059523809523809,0.0043410890836221,0.0578446000229542,0.0059523809523809,7,7,0,7,7
72,72,"(44, 45)",0.003495561025382,0.0447721417784489,0.0059523809523809,0.0018019417121603,0.0541935483870967,0.0059523809523809,7,8,0,6,14
73,73,"(45, 52)",0.0112453507189106,0.0513971038139914,0.0079365079365079,0.00646680473622,0.0571493366594852,0.0079365079365079,161,153,0,165,166
74,74,"(52, 53)",0.0008086402221591,0.0491467576791808,0.0079365079365079,0.0021268210559923,0.0563947633434038,0.0079365079365079,28,28,6,27,28
75,75,"(54, 55)",0.0311731040173346,0.0531253293981237,0.0079365079365079,0.0072372492667045,0.0563317313065832,0.0079365079365079,24,24,9864,24,24
76,76,"(55, 46)",0.0041885090137548,0.0504807692307692,0.0039682539682539,0.0020082853129062,0.0535145466128689,0.0039682539682539,163,161,0,153,164
77,77,"(46, 47)",0.0101849222127552,0.0491467576791808,0.0059523809523809,0.0007222293077051,0.0516234763904537,0.0059523809523809,12,12,12,10,12
78,78,"(41, 48)",0.0180433896654429,0.052863436123348,0.0059523809523809,0.0119616554395181,0.0636926576519651,0.0059523809523809,6,9,0,93,101
79,79,"(48, 49)",0.0024338098393764,0.0540482573726541,0.0079365079365079,0.0049520299997799,0.0628977910894796,0.0079365079365079,14,14,0,14,14
80,80,"(50, 51)",0.0395853497355441,0.0585433848298292,0.0079365079365079,0.0181345230623382,0.0629449231922068,0.0079365079365079,13,13,0,13,13
81,81,"(51, 42)",0.0134527991994149,0.0558882235528942,0.0079365079365079,0.0133919249378676,0.0595744680851063,0.0079365079365079,101,100,0,99,101
82,82,"(49, 50)",0.0258042867894774,0.0619164619164619,0.0079365079365079,0.0240575089089746,0.0658995815899581,0.0079365079365079,14,14,0,14,14
83,83,"(50, 53)",0.0121476599553685,0.0585705984892504,0.0079365079365079,0.015260734433999,0.0621838371375694,0.0079365079365079,124,124,0,124,124
84,84,"(53, 54)",0.0116993335711101,0.0558882235528942,0.0059523809523809,0.0066844291757814,0.0587549545348566,0.0059523809523809,16,16,0,16,16
85,85,"(55, 52)",0.024996523433003,0.0504605526631958,0.0059523809523809,0.0032361664927339,0.0570846075433231,0.0059523809523809,16,16,1,9,16
86,86,"(52, 51)",0.0354332339297548,0.0491467576791808,0.0079365079365079,0.015586989567928,0.0603303806559731,0.0079365079365079,119,123,0,124,124
87,87,"(51, 48)",0.0615657844658839,0.0558882235528942,0.0079365079365079,0.0221516608779181,0.0637893937476268,0.0079365079365079,16,14,0,13,16
88,88,"(33, 64)",0.0360225159492634,0.0609579100145137,0.0079365079365079,0.0250856680001123,0.0714792228052758,0.0079365079365079,36,43,0,376,382
89,89,"(67, 34)",0.0242974896573925,0.061931678545097,0.0079365079365079,0.0271598276802532,0.0673076923076923,0.0079365079365079,376,378,0,376,378
90,90,"(64, 65)",0.0789601891016616,0.0616664627431787,0.0079365079365079,0.0409351339077238,0.0738786279683377,0.0079365079365079,26,23,0,25,26
