Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC
144,"(495, 496)",0.04802210707642057,0.024227083709998192,0.001658374792703151,0.045097208450527115,0.029755002343884927,0.001658374792703151
145,"(488, 487)",0.05110872771707583,0.025253900115171188,0.001658374792703151,0.03106257476939431,0.029166364361895087,0.001658374792703151
146,"(487, 486)",0.05110872771707583,0.02464342637623115,0.001658374792703151,0.03010415144768375,0.02868218897899969,0.001658374792703151
147,"(486, 34)",0.05110872771707583,0.024061770515352847,0.0024875621890547263,0.02959608927162176,0.028227033352837917,0.0024875621890547263
148,"(34, 35)",0.049932957316991176,0.02564866014461931,0.003316749585406302,0.027499373337593627,0.027934125495101107,0.003316749585406302
149,"(35, 393)",0.017278686027060376,0.025107738429829492,0.0024875621890547263,0.01642092819410268,0.027334542157751586,0.0024875621890547263
150,"(393, 392)",0.017278686027060373,0.02449924836468533,0.001658374792703151,0.014815940738951256,0.026810724289715888,0.001658374792703151
151,"(392, 391)",0.017278686027060376,0.023919554136337493,0.001658374792703151,0.013646201606123063,0.02631406689795117,0.001658374792703151
152,"(391, 22)",0.017278686027060366,0.02336665891653104,0.001658374792703151,0.012493174015367123,0.02584211879660581,0.001658374792703151
153,"(22, 23)",0.022414432109731396,0.023570339678692882,0.003316749585406302,0.015553285305267176,0.025438744515693553,0.003316749585406302
154,"(11, 944)",0.01678353277411926,0.02098413140311804,0.001658374792703151,0.006744611541329819,0.026764908231429903,0.001658374792703151
155,"(944, 943)",0.01678353277411926,0.020566166439290587,0.001658374792703151,0.00732115390987143,0.027023998924417952,0.001658374792703151
156,"(943, 942)",0.01678353277411926,0.020164526484751203,0.001658374792703151,0.008220660853844838,0.02742529676627098,0.001658374792703151
157,"(942, 941)",0.01678353277411926,0.019778273419050117,0.001658374792703151,0.009149298309391313,0.027852193995381063,0.001658374792703151
158,"(941, 940)",0.01678353277411926,0.01940653964984552,0.001658374792703151,0.010105460657762742,0.02830587241233629,0.001658374792703151
159,"(940, 939)",0.01678353277411926,0.01904852160727824,0.001658374792703151,0.01109052414360037,0.028789000023871476,0.001658374792703151
160,"(958, 959)",0.029941093360923737,0.02509415510102166,0.001658374792703151,0.020569622308126145,0.029254093389933292,0.001658374792703151
161,"(959, 960)",0.02994109336092374,0.02449924836468533,0.001658374792703151,0.01955336394375358,0.02873960393680147,0.001658374792703151
162,"(960, 961)",0.029941093360923734,0.023931895302919056,0.001658374792703151,0.018568759206129704,0.02825811893715732,0.001658374792703151
163,"(961, 962)",0.029941093360923713,0.02339022498060512,0.001658374792703151,0.01761305560597206,0.027805957760767316,0.001658374792703151
164,"(962, 963)",0.029941093360923706,0.022872532099303962,0.001658374792703151,0.016684876898639327,0.027380465876583573,0.001658374792703151
165,"(963, 964)",0.029941093360923703,0.022377259064088766,0.001658374792703151,0.01588490350276069,0.027022182388527896,0.001658374792703151
166,"(964, 9)",0.029941093360923713,0.021902980330905722,0.0024875621890547263,0.015950091201263294,0.026792855238603037,0.0024875621890547263
167,"(9, 8)",0.008380871116983083,0.0227994555353902,0.0024875621890547263,0.008318965656027568,0.02632957820277705,0.0024875621890547263
168,"(383, 384)",0.04704657899988302,0.022705877922958164,0.001658374792703151,0.04678866525984351,0.02825282293960549,0.001658374792703151
169,"(384, 28)",0.04704657899988302,0.022207081959968327,0.001658374792703151,0.04796959784908717,0.028832361097829204,0.001658374792703151
170,"(28, 29)",0.08407522749815435,0.02533932848678405,0.003316749585406302,0.08382605815865833,0.029459182177927597,0.003316749585406302
171,"(29, 571)",0.05771532576202177,0.024725274725274724,0.001658374792703151,0.06260241450273354,0.029730795779508924,0.001658374792703151
172,"(571, 572)",0.05771532576202177,0.02414027783338004,0.001658374792703151,0.06353459087307178,0.030235415047509213,0.001658374792703151
173,"(572, 573)",0.05771532576202177,0.023582323034806413,0.001658374792703151,0.06449566838087625,0.0307739416673046,0.001658374792703151
174,"(573, 574)",0.05771532576202177,0.023049577615534573,0.001658374792703151,0.06548427078150565,0.03134828832107302,0.001658374792703151
175,"(574, 575)",0.05771532576202177,0.022540370813397128,0.001658374792703151,0.06650177431960123,0.031962260150535354,0.001658374792703151
176,"(575, 576)",0.05771532576202177,0.02205317631569323,0.001658374792703151,0.06755093148444552,0.03262104408980254,0.001658374792703151
177,"(975, 974)",0.03257490912070713,0.0273978826843564,0.001658374792703151,0.014460310426358798,0.031387450225125575,0.001658374792703151
178,"(974, 582)",0.03257490912070712,0.02668141592920354,0.001658374792703151,0.013429604770026077,0.030786511117351235,0.001658374792703151
179,"(582, 581)",0.03257490912070712,0.026001466085981632,0.001658374792703151,0.012429618860149769,0.030224806395829678,0.001658374792703151
180,"(581, 580)",0.03257490912070712,0.025355310739214532,0.001658374792703151,0.011457433092026665,0.029697850230244526,0.001658374792703151
181,"(580, 579)",0.03257490912070714,0.02474049152750995,0.001658374792703151,0.01057228492616174,0.029203089812819334,0.001658374792703151
182,"(579, 30)",0.032574909120707166,0.024154782887357795,0.0024875621890547263,0.012533123622236995,0.02902317522200563,0.0024875621890547263
183,"(30, 31)",0.019206870213249107,0.02575822298163178,0.003316749585406302,0.012222021267642276,0.02868628243857187,0.003316749585406302
184,"(31, 387)",0.031463475614091754,0.025707160062242874,0.0024875621890547263,0.02915106875583864,0.028293918918918918,0.0024875621890547263
185,"(387, 386)",0.03146347561409175,0.025069637883008356,0.001658374792703151,0.027831943707356043,0.027729875146582053,0.001658374792703151
186,"(29, 30)",0.025530026217460415,0.024714634096358382,0.0024875621890547263,0.030876856582243584,0.029208748092712344,0.0024875621890547263
