Nodo,conecciones,Betweenness_nx,Betweenness_streets,Closeness_streets,Degree_streets
96,"(358, 13)",0.02707,0.02511,0.02128,0.00249
97,"(13, 14)",0.02053,0.01895,0.02112,0.00249
98,"(11, 9)",0.02006,0.01845,0.02098,0.00249
99,"(9, 374)",0.04282,0.04001,0.0228,0.00249
100,"(374, 375)",0.04282,0.04001,0.02231,0.00166
101,"(375, 376)",0.04282,0.04001,0.02183,0.00166
102,"(376, 377)",0.04282,0.04001,0.02138,0.00166
103,"(377, 25)",0.04282,0.04001,0.02094,0.00249
104,"(25, 26)",0.02227,0.02153,0.02377,0.00332
105,"(26, 373)",0.01067,0.01016,0.02428,0.00249
106,"(373, 372)",0.01067,0.01016,0.02371,0.00166
107,"(372, 371)",0.01067,0.01016,0.02317,0.00166
108,"(370, 369)",0.00618,0.00548,0.02214,0.00166
109,"(369, 368)",0.00618,0.00548,0.02166,0.00166
110,"(368, 27)",0.00618,0.00548,0.02121,0.00249
111,"(27, 24)",0.02388,0.02321,0.02377,0.00332
112,"(24, 378)",0.0214,0.01918,0.02333,0.00249
113,"(378, 379)",0.0214,0.01918,0.02281,0.00166
114,"(379, 380)",0.0214,0.01918,0.02231,0.00166
115,"(380, 381)",0.0214,0.01918,0.02184,0.00166
116,"(381, 8)",0.0214,0.01918,0.02138,0.00166
117,"(8, 10)",0.03119,0.02839,0.02393,0.00249
118,"(16, 17)",0.00902,0.00865,0.01976,0.00249
119,"(17, 348)",0.01805,0.01699,0.02026,0.00249
120,"(348, 349)",0.01805,0.01699,0.01986,0.00166
121,"(349, 350)",0.01805,0.01699,0.01948,0.00166
122,"(350, 351)",0.01805,0.01699,0.01912,0.00166
123,"(351, 352)",0.01805,0.01699,0.01876,0.00166
124,"(352, 20)",0.01805,0.01699,0.01842,0.00249
125,"(355, 354)",0.01188,0.01096,0.02157,0.00166
126,"(354, 353)",0.01188,0.01096,0.02112,0.00166
127,"(353, 18)",0.01188,0.01096,0.02069,0.00166
128,"(18, 19)",0.01339,0.0132,0.02057,0.00249
129,"(356, 355)",0.01188,0.01096,0.02203,0.00166
130,"(357, 356)",0.01188,0.01096,0.02252,0.00166
131,"(23, 357)",0.01188,0.01096,0.02304,0.00166
132,"(371, 21)",0.01067,0.01016,0.02265,0.00249
133,"(21, 22)",0.00453,0.00431,0.0232,0.00249
134,"(23, 20)",0.01037,0.01063,0.02303,0.00249
135,"(20, 370)",0.00618,0.00548,0.02263,0.00249
136,"(20, 21)",0.02223,0.02213,0.02263,0.00332
137,"(21, 388)",0.02838,0.02798,0.0232,0.00249
138,"(388, 389)",0.02838,0.02798,0.02268,0.00166
139,"(389, 390)",0.02838,0.02798,0.02219,0.00166
140,"(390, 32)",0.02838,0.02798,0.02171,0.00249
141,"(32, 33)",0.02377,0.02389,0.02476,0.00332
142,"(33, 494)",0.04958,0.04802,0.02544,0.00249
143,"(494, 495)",0.04958,0.04802,0.02482,0.00166
144,"(495, 496)",0.04958,0.04802,0.02423,0.00166
145,"(488, 487)",0.05203,0.05111,0.02525,0.00166
146,"(487, 486)",0.05203,0.05111,0.02464,0.00166
147,"(486, 34)",0.05203,0.05111,0.02406,0.00249
148,"(34, 35)",0.05044,0.04993,0.02565,0.00332
149,"(35, 393)",0.01772,0.01728,0.02511,0.00249
150,"(393, 392)",0.01772,0.01728,0.0245,0.00166
151,"(392, 391)",0.01772,0.01728,0.02392,0.00166
152,"(391, 22)",0.01772,0.01728,0.02337,0.00166
153,"(22, 23)",0.02225,0.02241,0.02357,0.00332
154,"(11, 944)",0.01994,0.01678,0.02098,0.00166
155,"(944, 943)",0.01994,0.01678,0.02057,0.00166
156,"(943, 942)",0.01994,0.01678,0.02016,0.00166
157,"(942, 941)",0.01994,0.01678,0.01978,0.00166
158,"(941, 940)",0.01994,0.01678,0.01941,0.00166
159,"(940, 939)",0.01994,0.01678,0.01905,0.00166
160,"(958, 959)",0.03254,0.02994,0.02509,0.00166
161,"(959, 960)",0.03254,0.02994,0.0245,0.00166
162,"(960, 961)",0.03254,0.02994,0.02393,0.00166
163,"(961, 962)",0.03254,0.02994,0.02339,0.00166
164,"(962, 963)",0.03254,0.02994,0.02287,0.00166
165,"(963, 964)",0.03254,0.02994,0.02238,0.00166
166,"(964, 9)",0.03254,0.02994,0.0219,0.00249
167,"(9, 8)",0.00978,0.00838,0.0228,0.00249
168,"(383, 384)",0.04971,0.04705,0.02271,0.00166
169,"(384, 28)",0.04971,0.04705,0.02221,0.00166
170,"(28, 29)",0.08686,0.08408,0.02534,0.00332
171,"(29, 571)",0.06037,0.05772,0.02473,0.00166
172,"(571, 572)",0.06037,0.05772,0.02414,0.00166
173,"(572, 573)",0.06037,0.05772,0.02358,0.00166
174,"(573, 574)",0.06037,0.05772,0.02305,0.00166
175,"(574, 575)",0.06037,0.05772,0.02254,0.00166
176,"(575, 576)",0.06037,0.05772,0.02205,0.00166
177,"(975, 974)",0.03464,0.03257,0.0274,0.00166
178,"(974, 582)",0.03464,0.03257,0.02668,0.00166
179,"(582, 581)",0.03464,0.03257,0.026,0.00166
180,"(581, 580)",0.03464,0.03257,0.02536,0.00166
181,"(580, 579)",0.03464,0.03257,0.02474,0.00166
182,"(579, 30)",0.03464,0.03257,0.02415,0.00249
183,"(30, 31)",0.02057,0.01921,0.02576,0.00332
