Nodo,BC,CC,DC,DiBC,DiCC,DiDC
150,0.02209400233362001,0.0939070351758794,0.010033444816053512,0.020892207199473024,0.07170263788968825,0.010033444816053512
151,0.05956245292475538,0.0962962962962963,0.013377926421404682,0.0749664002048313,0.07742102537545313,0.013377926421404682
152,0.029509600665249415,0.09282831418814033,0.010033444816053512,0.03813725910311848,0.07746113989637306,0.010033444816053512
153,0.05878928313265739,0.0952532653711373,0.013377926421404682,0.09221145210847662,0.08098591549295775,0.013377926421404682
154,0.09822327203867613,0.09552715654952076,0.013377926421404682,0.11799778613397695,0.08314794215795328,0.013377926421404682
155,0.08943987403899013,0.09242658423493044,0.016722408026755852,0.0875983277065948,0.07746113989637306,0.016722408026755852
156,0.02491132126508823,0.08579626972740316,0.013377926421404682,0.036876624008225965,0.07184046131667468,0.013377926421404682
157,0.04788022517905378,0.08933373170002988,0.013377926421404682,0.06713141452636288,0.07658811475409837,0.013377926421404682
158,0.032913167272442034,0.08719743365412656,0.013377926421404682,0.04985861322328512,0.07469397951536348,0.013377926421404682
159,0.023183970460053233,0.08420163334272036,0.013377926421404682,0.04640317121850652,0.07476869217304326,0.013377926421404682
160,0.053215218875436704,0.08970897089708971,0.013377926421404682,0.0605426877859035,0.07469397951536348,0.013377926421404682
161,0.029411962733686365,0.087683284457478,0.013377926421404682,0.026441196218207428,0.07510675709620698,0.013377926421404682
162,0.027234702002704635,0.08567335243553009,0.013377926421404682,0.03588619515333555,0.0727670966171818,0.013377926421404682
163,0.032362350231835965,0.08755490483162519,0.013377926421404682,0.043269886482825745,0.07319461444308445,0.013377926421404682
164,0.049948877638370144,0.08429658866647871,0.013377926421404682,0.06376486561779841,0.07139446036294174,0.013377926421404682
165,0.05121959360360702,0.08587018954623779,0.013377926421404682,0.06722030762257704,0.07476869217304326,0.013377926421404682
166,0.04072899930044355,0.08182813355227149,0.010033444816053512,0.052557497276856144,0.07259043457149794,0.010033444816053512
167,0.04234715712870101,0.0803979564399032,0.010033444816053512,0.052557497276856144,0.06772366930917327,0.010033444816053512
168,0.05032914069813738,0.08621683967704728,0.013377926421404682,0.06369935263646964,0.07259043457149794,0.013377926421404682
