,Unnamed: 0.1,Unnamed: 0,Nodo,Conections,DiBC,DiCC,DiDC,BC,CC,DC,state RW,state_RW_UL,state_RWM,state_RWM_UL,MaxOcupation,mean_state_RW,mean_state_RW_lim,mean_state_RWM,mean_state_RWM_lim
412,412,412,412,"(253, 258)",0.0200641389756697,0.0431913617276544,0.0039682539682539,0.0198759014525852,0.0511363636363636,0.0039682539682539,7,13,0,3,46,14.47056,9.323524691027767,0.2412100732158661,1.7707421129448748
413,413,413,413,"(258, 257)",0.0318032282495503,0.0479269684290604,0.0079365079365079,0.0246796787714339,0.0529467381027418,0.0079365079365079,11,12,0,12,12,29.92538,10.451072708790328,1.258427870303323,5.559934134201565
414,414,414,414,"(257, 262)",0.0279375335289848,0.0457640969763007,0.0039682539682539,0.0240354391669689,0.0548900021781746,0.0039682539682539,3,6,0,11,36,14.96018,13.800492215504788,0.2578646713331724,2.405523745368811
415,415,415,415,"(262, 261)",0.0397634037047555,0.0511467424396184,0.0079365079365079,0.0290206533051596,0.057032929727283,0.0079365079365079,7,9,0,12,12,30.84418,10.935637472580389,1.760559980690321,6.431982335990419
416,416,416,416,"(261, 265)",0.0360219634573511,0.0486909477345184,0.0039682539682539,0.0273171501397889,0.059349976448422,0.0039682539682539,11,12,0,1,64,15.40974,12.022042694344872,0.2766916083353448,5.289697241869691
417,417,417,417,"(265, 267)",0.0479720881062829,0.0548900021781746,0.0079365079365079,0.0325182076676491,0.0619240692959823,0.0079365079365079,16,16,0,2,16,31.81698,14.549676314803916,4.93137018263738,10.328430822199769
418,418,418,418,"(267, 271)",0.0443687083846129,0.0520714949891517,0.0039682539682539,0.0291336859851398,0.0647648419429452,0.0039682539682539,15,15,0,12,16,15.87636,15.046171954416565,0.2750020114248934,5.0886194378952885
419,419,419,419,"(271, 272)",0.0598176812143015,0.0594199481254421,0.0079365079365079,0.0346850332757928,0.0679886685552408,0.0079365079365079,12,12,0,12,12,32.77988,11.69755497298165,3.080456995735779,9.224916732158228
420,420,420,420,"(291, 292)",0.0089581558269431,0.0440174672489082,0.0059523809523809,0.0044745526636786,0.0520016508460586,0.0059523809523809,3,4,0,1,18,10.001,4.157134449735167,0.1624426743905382,0.4475506156206729
421,421,421,421,"(292, 242)",0.0569391849958451,0.0502242152466367,0.0079365079365079,0.0656854144754391,0.053874933190807,0.0079365079365079,23,25,3,2,82,25.61088,15.991546733722112,0.6721377423766997,3.248381422850941
422,422,422,422,"(244, 246)",0.0184706575362639,0.0449197860962566,0.0039682539682539,0.0176586257701328,0.0488940628637951,0.0039682539682539,18,4,0,0,62,13.0255,11.240008560269647,0.2116823557808351,1.1313573593802626
423,423,423,423,"(243, 244)",0.0615093734644287,0.0469930069930069,0.0079365079365079,0.0319917042182791,0.0509142337609859,0.0079365079365079,14,13,1,1,46,26.1167,10.801134235728425,0.8519591278461662,3.653119269488417
424,424,424,424,"(244, 291)",0.0410506443575883,0.0448997772828507,0.0059523809523809,0.0094050841055792,0.0520984081041968,0.0059523809523809,3,4,0,0,34,13.02582,5.418062168958322,0.2215785662563359,0.6355675311552711
425,425,425,425,"(291, 290)",0.0395043664693621,0.0440366972477064,0.0059523809523809,0.0135267944368111,0.0535088650599851,0.0059523809523809,7,2,0,1,24,10.02226,4.171847413193516,0.1568911416847695,0.7293888701770144
426,426,426,426,"(287, 292)",0.0459929575983254,0.0502592740327084,0.0039682539682539,0.0653535683260456,0.0556291390728476,0.0039682539682539,8,8,0,2,182,15.58682,7.066288588090525,0.2685654517660311,0.8840238015044347
427,427,427,427,"(290, 288)",0.0604597190102017,0.0424599831508003,0.0059523809523809,0.0357250777665743,0.0554577464788732,0.0059523809523809,9,6,0,3,150,17.04936,7.752019688620192,0.3272990586531499,6.987350772800419
